target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,selected_hyperparameters,hyperparameter_tuning_enabled,hyperparameter_tuning_metric,eval_group,frontier_idx,segment_min,segment_max,segments_included,data_size_n,test_segment,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,3,ridge,regression,551,1281,441,110,"{""alpha"": 0.20890406240632287, ""max_iter"": 1000}",True,spearman,all_data,,,,,551,,0.3792,0.3953,0.103,6.8042,8.9199,0.7273,0.7519,0.5252,5.3113,6.7388
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,4,ridge,regression,551,1281,441,110,"{""alpha"": 0.20890406240632287, ""max_iter"": 1000}",True,spearman,all_data,,,,,551,,0.5362,0.4741,0.2193,7.0073,8.7207,0.6882,0.7362,0.5021,5.3271,6.8239
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,0,mlp_pytorch,regression,551,1281,440,111,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 128, ""learning_rate"": 0.0021576967455896826, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,551,,0.3777,0.3825,0.0955,7.7106,9.045,0.4207,0.3831,0.0876,8.1193,9.3242
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,1,mlp_pytorch,regression,551,1281,441,110,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 128, ""learning_rate"": 0.0021576967455896826, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,551,,0.2038,0.2423,0.018,6.5805,9.0489,0.3192,0.3232,-0.0072,7.1943,9.8694
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,2,mlp_pytorch,regression,551,1281,441,110,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 128, ""learning_rate"": 0.0021576967455896826, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,551,,0.376,0.4314,0.0934,7.1646,9.9427,0.5065,0.4749,0.151,5.9945,8.7548
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,3,mlp_pytorch,regression,551,1281,441,110,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 128, ""learning_rate"": 0.0021576967455896826, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,551,,0.3694,0.3469,0.1033,6.7026,8.9185,0.5249,0.5109,0.2564,6.6245,8.4334
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,4,mlp_pytorch,regression,551,1281,441,110,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 128, ""learning_rate"": 0.0021576967455896826, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,551,,0.4348,0.33,0.0827,7.1632,9.4527,0.4838,0.5375,0.2544,6.08,8.3504
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,0,ridge,regression,517,1319,413,104,"{""alpha"": 5.449280398972804, ""max_iter"": 1000}",True,spearman,all_data,,,,,517,,0.4645,0.4893,0.181,6.0072,7.2411,0.5711,0.5336,0.2496,6.4511,7.9821
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,1,ridge,regression,517,1319,413,104,"{""alpha"": 5.449280398972804, ""max_iter"": 1000}",True,spearman,all_data,,,,,517,,0.4896,0.4178,0.1604,6.8629,8.4543,0.5797,0.5435,0.2614,6.127,7.7026
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,2,ridge,regression,517,1319,414,103,"{""alpha"": 5.449280398972804, ""max_iter"": 1000}",True,spearman,all_data,,,,,517,,0.3573,0.2818,0.0633,7.0994,8.7854,0.5681,0.5695,0.2901,5.9135,7.5747
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,3,ridge,regression,517,1319,414,103,"{""alpha"": 5.449280398972804, ""max_iter"": 1000}",True,spearman,all_data,,,,,517,,0.3158,0.3162,0.0811,6.5908,8.5383,0.5937,0.5616,0.2855,6.0216,7.6439
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,4,ridge,regression,517,1319,414,103,"{""alpha"": 5.449280398972804, ""max_iter"": 1000}",True,spearman,all_data,,,,,517,,0.5316,0.4308,0.1731,6.7798,8.7181,0.5727,0.5415,0.26,6.0768,7.6219
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,0,mlp_pytorch,regression,517,1319,413,104,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 160, ""learning_rate"": 0.00019485671251272575, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,517,,0.0685,0.0973,-0.0243,6.707,8.0981,0.1682,0.1509,0.0037,7.5606,9.197
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,1,mlp_pytorch,regression,517,1319,413,104,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 160, ""learning_rate"": 0.00019485671251272575, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,517,,0.199,0.2598,0.0094,7.7886,9.1832,0.1597,0.1356,0.0075,7.4912,8.9286
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,2,mlp_pytorch,regression,517,1319,414,103,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 160, ""learning_rate"": 0.00019485671251272575, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,517,,0.195,0.1419,-0.0745,7.3236,9.4095,0.1389,0.141,-0.0219,6.8922,9.0877
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,3,mlp_pytorch,regression,517,1319,414,103,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 160, ""learning_rate"": 0.00019485671251272575, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,517,,0.2809,0.2604,0.058,6.7963,8.6449,0.5246,0.4945,0.2013,6.4066,8.0817
